ano_materia,autoria_texto,casa,id_principal,id_documento,data_texto,descricao_identificacao_materia,descricao_objetivo_processo,descricao_subtipo_materia,descricao_texto,descricao_tipo_texto,formato_texto,identificacao_comissao_codigo_comissao,identificacao_comissao_nome_casa_comissao,identificacao_comissao_nome_comissao,identificacao_comissao_sigla_casa_comissao,identificacao_comissao_sigla_comissao,indicador_tramitando,nome_casa_identificacao_materia,numero_emenda,numero_materia,sigla_casa_identificacao_materia,sigla_subtipo_materia,tipo_documento,url_texto
2020,Senado Federal,senado,145213,8901527,2020-10-21,PDL 452/2020,Iniciadora,PROJETO DE DECRETO LEGISLATIVO,Avulso inicial da matéria,Avulso inicial da matéria,application/pdf,1998,Senado Federal,Plenário do Senado Federal,SF,PLEN,Sim,Senado Federal,NA,00452,SF,PDL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=8901527
2020,"Senador Fabiano Contarato (REDE/ES), Senadora Mara Gabrilli (PSDB/SP)",senado,145213,8901489,2020-10-21,PDL 452/2020,Iniciadora,PROJETO DE DECRETO LEGISLATIVO,PDL 452/2020,Projeto de Decreto Legislativo,application/pdf,1998,Senado Federal,Plenário do Senado Federal,SF,PLEN,Sim,Senado Federal,NA,00452,SF,PDL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=8901489
2020,Senadora Mara Gabrilli (PSDB/SP),senado,145213,8901521,2020-10-21,PDL 452/2020,Iniciadora,PROJETO DE DECRETO LEGISLATIVO,RQS 2545/2020,Requerimento,application/pdf,1998,Senado Federal,Plenário do Senado Federal,SF,PLEN,Sim,Senado Federal,NA,00452,SF,PDL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=8901521
2019,Senado Federal,senado,136417,7943405,2019-04-23,PDL 202/2019,Iniciadora,PROJETO DE DECRETO LEGISLATIVO,Avulso inicial da matéria,Avulso inicial da matéria,application/pdf,1998,Senado Federal,Plenário do Senado Federal,SF,PLEN,Sim,Senado Federal,NA,00202,SF,PDL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=7943405
2019,Senador Fabiano Contarato (REDE/ES),senado,136417,7943254,2019-04-23,PDL 202/2019,Iniciadora,PROJETO DE DECRETO LEGISLATIVO,PDL 202/2019 (Casa iniciadora-SF),Projeto de Decreto Legislativo,application/pdf,1998,Senado Federal,Plenário do Senado Federal,SF,PLEN,Sim,Senado Federal,NA,00202,SF,PDL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=7943254
2019,Senado Federal,senado,140199,8055322,2019-12-12,PDL 751/2019,Iniciadora,PROJETO DE DECRETO LEGISLATIVO,Avulso inicial da matéria,Avulso inicial da matéria,application/pdf,1998,Senado Federal,Plenário do Senado Federal,SF,PLEN,Sim,Senado Federal,NA,00751,SF,PDL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=8055322
2019,"Senador Paulo Rocha (PT/PA), Senadora Zenaide Maia (PROS/RN), Senadora Eliziane Gama (CIDADANIA/MA)",senado,140199,8054689,2019-12-12,PDL 751/2019,Iniciadora,PROJETO DE DECRETO LEGISLATIVO,PDL 751/2019,Projeto de Decreto Legislativo,application/pdf,1998,Senado Federal,Plenário do Senado Federal,SF,PLEN,Sim,Senado Federal,NA,00751,SF,PDL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=8054689
2020,Senado Federal,senado,140619,8065020,2020-02-11,PDL 37/2020,Iniciadora,PROJETO DE DECRETO LEGISLATIVO,Avulso inicial da matéria,Avulso inicial da matéria,application/pdf,1998,Senado Federal,Plenário do Senado Federal,SF,PLEN,Sim,Senado Federal,NA,00037,SF,PDL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=8065020
2020,"Senador Rogério Carvalho (PT/SE), Senador Paulo Rocha (PT/PA), Senador Humberto Costa (PT/PE), Senador Jaques Wagner (PT/BA), Senadora Zenaide Maia (PROS/RN), Senador Jean Paul Prates (PT/RN), Senador Paulo Paim (PT/RS)",senado,140619,8064862,2020-02-11,PDL 37/2020,Iniciadora,PROJETO DE DECRETO LEGISLATIVO,PDL 37/2020,Projeto de Decreto Legislativo,application/pdf,1998,Senado Federal,Plenário do Senado Federal,SF,PLEN,Sim,Senado Federal,NA,00037,SF,PDL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=8064862
2020,Senado Federal,senado,140618,8065034,2020-02-11,PDL 36/2020,Iniciadora,PROJETO DE DECRETO LEGISLATIVO,Avulso inicial da matéria,Avulso inicial da matéria,application/pdf,1998,Senado Federal,Plenário do Senado Federal,SF,PLEN,Sim,Senado Federal,NA,00036,SF,PDL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=8065034
